P.s,Item,Cond,Antecedent,Consequent,Premise,Conclusion,CondType
21,29,1,1897,1750,991,2231,MP
21,30,8,1374,3304,2351,2739,DF
21,31,7,1358,3673,1802,958,CF
21,32,6,946,2342,4164,1835,ACF
22,1,6,1045,2266,2844,239,ACF
22,2,5,586,870,703,,MPF
22,3,4,1390,1319,387,940,DB
22,4,3,1056,515,420,640,CB
22,5,2,635,614,530,1045,AC
22,6,1,761,432,1525,482,MP
22,7,8,560,1679,978,1028,DF
22,8,7,630,1393,1147,2144,CF
22,9,6,509,1936,2703,347,ACF
22,10,5,596,454,457,658,MPF
22,11,4,477,839,335,2170,DB
22,12,3,346,527,352,128,CB
22,13,2,1319,977,225,2672,AC
22,14,1,806,557,1406,407,MP
22,15,8,823,1388,790,1732,DF
22,16,7,409,526,2600,1009,CF
22,17,6,775,533,1197,7893,ACF
22,18,5,345,1197,1995,500,MPF
22,19,4,515,873,600,1326,DB
22,20,3,402,373,190,224,CB
22,21,2,783,1481,322,2113,AC
22,22,1,702,792,409,509,MP
22,23,8,729,109,,2277,DF
22,24,7,560,630,1482,3657,CF
22,25,6,712,621,,5562,ACF
22,26,5,302,524,1097,733,MPF
22,27,4,561,522,912,,DB
22,28,3,322,584,276,304,CB
22,29,2,661,503,351,1746,AC
22,30,1,363,590,3159,622,MP
22,31,8,527,1107,1827,376,DF
22,32,7,363,394,369,1966,CF
23,1,7,625,815,1885,1182,CF
23,2,6,2015,2242,1271,3637,ACF
23,3,5,1906,1684,,6244,MPF
23,4,4,370,1353,994,1440,DB
23,5,3,751,1977,,2965,CB
23,6,2,857,3643,3654,2148,AC
23,7,1,1336,809,,6015,MP
23,8,8,953,1152,2709,2112,DF
23,9,7,508,1213,3338,750,CF
23,10,6,580,970,2060,6064,ACF
23,11,5,696,1139,3758,1442,MPF
23,12,4,308,568,3584,8202,DB
23,13,3,188,1361,,4112,CB
23,14,2,606,1084,,5039,AC
23,15,1,578,1058,452,2256,MP
